framework,category,row_count,mode,memory_bytes
donchian_breakout,breakout,10000,stateful_policy,28079032
dual_moving_average_crossover,trend_following,10000,stateful_policy,28199032
elder_impulse_system,momentum,10000,stateful_policy,28109038
ema_ribbon_trend,trend_following,10000,stateful_policy,28069032
engulfing_confirmation_trend,price_action,10000,stateful_policy,29418628
heikin_ashi_trend,trend_following,10000,stateful_policy,28079038
ichimoku_cloud_trading,trend_following,10000,stateful_policy,28857251
inside_bar_breakout,price_action,10000,stateful_policy,29238746
keltner_channel_breakout,breakout,10000,stateful_policy,28149032
macd_momentum,momentum,10000,stateful_policy,28039032
momentum_acceleration_breakout,breakout,10000,stateful_policy,29458624
nr4_nr7_volatility_breakout,price_action,10000,stateful_policy,29398090
opening_range_breakout,breakout,10000,stateful_policy,29298743
parabolic_sar_trend,trend_following,10000,stateful_policy,28099032
pin_bar_rejection,price_action,10000,stateful_policy,31388586
pivot_range_breakout,breakout,10000,stateful_policy,29258644
price_channel_trend,trend_following,10000,stateful_policy,28099038
rsi_pullback_trend,momentum,10000,stateful_policy,29218747
stochastic_pullback_trend,momentum,10000,stateful_policy,29358210
supertrend_trend_following,trend_following,10000,stateful_policy,28988821
support_resistance_bounce,price_action,10000,stateful_policy,29808752
triple_screen_trading,multi_timeframe,10000,stateful_policy,34181489
turtle_trading,trend_following,10000,stateful_policy,28049032
volume_expansion_breakout,breakout,10000,stateful_policy,29358634
vwap_mean_reversion,mean_reversion,10000,stateful_policy,28099032
williams_r_reversal,mean_reversion,10000,stateful_policy,29238246
zscore_mean_reversion,mean_reversion,10000,stateful_policy,28119032
adx_trend_following,trend_following,10000,stateful_policy_instrumented,28099032
aroon_trend,trend_following,10000,stateful_policy_instrumented,28019038
atr_volatility_breakout,breakout,10000,stateful_policy_instrumented,28139032
bollinger_mean_reversion,mean_reversion,10000,stateful_policy_instrumented,28149026
bollinger_squeeze_breakout,breakout,10000,stateful_policy_instrumented,29378739
cci_trend_pullback,momentum,10000,stateful_policy_instrumented,29218252
chandelier_exit_trend,trend_following,10000,stateful_policy_instrumented,28119038
connors_rsi_mean_reversion,mean_reversion,10000,stateful_policy_instrumented,29368039
donchian_breakout,breakout,10000,stateful_policy_instrumented,28079032
dual_moving_average_crossover,trend_following,10000,stateful_policy_instrumented,28199032
elder_impulse_system,momentum,10000,stateful_policy_instrumented,28109038
ema_ribbon_trend,trend_following,10000,stateful_policy_instrumented,28069032
engulfing_confirmation_trend,price_action,10000,stateful_policy_instrumented,29418628
heikin_ashi_trend,trend_following,10000,stateful_policy_instrumented,28079038
ichimoku_cloud_trading,trend_following,10000,stateful_policy_instrumented,28857251
inside_bar_breakout,price_action,10000,stateful_policy_instrumented,29238746
keltner_channel_breakout,breakout,10000,stateful_policy_instrumented,28149032
macd_momentum,momentum,10000,stateful_policy_instrumented,28039032
momentum_acceleration_breakout,breakout,10000,stateful_policy_instrumented,29458624
nr4_nr7_volatility_breakout,price_action,10000,stateful_policy_instrumented,29398090
opening_range_breakout,breakout,10000,stateful_policy_instrumented,29298743
parabolic_sar_trend,trend_following,10000,stateful_policy_instrumented,28099032
pin_bar_rejection,price_action,10000,stateful_policy_instrumented,31388586
pivot_range_breakout,breakout,10000,stateful_policy_instrumented,29258644
price_channel_trend,trend_following,10000,stateful_policy_instrumented,28099038
rsi_pullback_trend,momentum,10000,stateful_policy_instrumented,29218747
stochastic_pullback_trend,momentum,10000,stateful_policy_instrumented,29358210
supertrend_trend_following,trend_following,10000,stateful_policy_instrumented,28988821
support_resistance_bounce,price_action,10000,stateful_policy_instrumented,29808752
triple_screen_trading,multi_timeframe,10000,stateful_policy_instrumented,34181489
turtle_trading,trend_following,10000,stateful_policy_instrumented,28049032
volume_expansion_breakout,breakout,10000,stateful_policy_instrumented,29358634
vwap_mean_reversion,mean_reversion,10000,stateful_policy_instrumented,28099032
williams_r_reversal,mean_reversion,10000,stateful_policy_instrumented,29238246
zscore_mean_reversion,mean_reversion,10000,stateful_policy_instrumented,28119032
